PatientID,BirthDate,IsNeutered,SexSource,BreedVeNomID,SourceBreed,Case_1,Date first suspected_2,Date confirmed_3,Date ruled out_4,Weight at suspected,Polydipsia mentioned_5,Polyuria mentioned_6,Polyphagia_7,Vomiting_8,Diarrhoea_9,Potbelly/hepatomegaly_10,Weight_11,Thin/dry skin_12,Alopecia_13,Pruritus_14,Muscle wastage/weakness_15,Lethargy_16,Panting_17,Neurological signs_18,Increased ALKP_19,Increased ALT/GGT/AST_20,USG <1.20_21,Proteinuria_22,Heart rate_23,Temperature_24,ALKP level_28,USG level_29,Hospitalised,Hypertensive,Insulin,Hypothyroid,Cruciate
288,22/06/2005 0:00,FALSE,Male      ,15087,Yorkshire Terrier,1,14/12/2016 0:00,1/02/2017 0:00,,,No,No,No,No,No,Yes,No change,Yes,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,140,38.2,,,No,No,No,No,No
289,6/06/2004 0:00,TRUE,Male - Neutered,14833,Shih Tzu,1,2/02/2017 0:00,3/02/2017 0:00,,9.2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,98,38.7,1102,1.005,No,No,No,No,No
290,15/10/2009 0:00,TRUE,Female - Neutered,15087,Yorkshire Terrier,1,26/01/2017 0:00,4/02/2017 0:00,,3.8,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Unknown,Unknown,,,312,,No,No,No,No,No
291,28/06/2006 0:00,TRUE,Male - Neutered,14363,Lhasa Apso,1,20/01/2017 0:00,6/02/2017 0:00,,14.95,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Unknown,Unknown,Unknown,Unknown,124,38.5,,,Yes,No,No,No,No
292,1/07/2012 0:00,TRUE,Female    ,13883,Collie,1,30/09/2016 23:00,6/02/2017 0:00,,,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,,38.8,,,No,No,No,No,No
293,13/07/2004 0:00,FALSE,Female    ,15087,Yorkshire Terrier,1,12/07/2016 23:00,7/02/2017 0:00,,7,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
294,8/06/2006 0:00,FALSE,Male      ,13724,Boxer,1,24/11/2016 0:00,8/02/2017 0:00,,37.6,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,,,,1.01,No,No,No,No,No
295,1/05/2006 0:00,TRUE,Male      ,14591,Pomeranian,1,13/09/2016 23:00,10/02/2017 0:00,,,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Unknown,Unknown,Unknown,120,,,,Yes,No,No,No,No
296,11/10/2004 0:00,TRUE,Male      ,13714,Bichon Frise,1,4/02/2017 0:00,10/02/2017 0:00,,6.4,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,,,,,No,No,No,No,No
297,1/12/2009 0:00,TRUE,Male      ,14844,Cavalier King Charles Spaniel,1,19/01/2017 0:00,14/02/2017 0:00,,,Yes,No,No,No,Yes,Yes,No change,Yes,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,88,,,,No,No,No,No,No
298,3/01/2005 0:00,TRUE,Male - Neutered,13714,Bichon Frise,1,2/09/2016 23:00,16/02/2017 0:00,,12,No,No,No,No,No,No,Weight gain,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,,,533,1.03,No,No,No,No,No
299,27/10/2004 0:00,TRUE,Female - Neutered,-412,Irish Setter,1,26/01/2017 0:00,16/02/2017 0:00,,33.9,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Unknown,Yes,Yes,132,38.9,,1.009,Yes,No,No,No,No
300,1/09/2004 0:00,FALSE,Female    ,15076,Staffordshire Bull Terrier,1,13/02/2017 0:00,17/02/2017 0:00,,20.4,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Unknown,Unknown,,,4000,,No,No,No,No,No
301,18/01/2007 0:00,TRUE,Female - Neutered,13714,Bichon Frise,1,20/02/2017 0:00,22/02/2017 0:00,,8.6,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Unknown,Unknown,,39,467,,Yes,No,No,No,No
302,2/02/2008 0:00,TRUE,Female - Neutered,14796,German Shepherd,1,14/02/2017 0:00,23/02/2017 0:00,,47.7,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,Unknown,Yes,Unknown,Unknown,,,,,No,No,No,No,No
303,10/04/2005 0:00,TRUE,Male - Neutered,14591,Pomeranian,1,20/02/2017 0:00,25/02/2017 0:00,,5.8,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Unknown,Unknown,100,38.6,,,No,No,No,No,No
304,1/09/2008 0:00,TRUE,Male      ,Crossbreed,Crossbreed,1,31/01/2017 0:00,27/02/2017 0:00,,,Yes,No,No,No,No,No,Weight loss,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,100,38.1,,,No,No,No,No,No
305,26/07/2005 0:00,FALSE,Male      ,13956,Dachshund,1,3/02/2017 0:00,27/02/2017 0:00,,9.2,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,523,1.008,No,No,No,No,No
306,5/10/2007 18:40,TRUE,Male      ,15076,Staffordshire Bull Terrier,1,14/02/2017 0:00,27/02/2017 0:00,,,Yes,Yes,No,No,No,No,Weight loss,Yes,No,No,Yes,No,Yes,No,Unknown,Unknown,Unknown,Unknown,80,,,,No,No,No,No,No
307,24/01/2005 0:00,TRUE,Female - Neutered,14884,Springer Spaniel,1,26/01/2017 0:00,1/03/2017 0:00,,20.9,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Unknown,Unknown,Yes,No,,,,1.008,No,No,No,No,No
308,1/08/2005 0:00,FALSE,Female    ,15009,Jack Russell Terrier,1,9/01/2017 0:00,2/03/2017 0:00,,6.5,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,112,38.4,213,1.025,No,No,No,No,No
309,1/03/2005 0:00,TRUE,Male - Neutered,15076,Staffordshire Bull Terrier,1,2/03/2017 0:00,4/03/2017 0:00,,32.6,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,100,38.6,,1.01,No,No,No,No,No
310,22/07/2008 0:00,FALSE,Male      ,Crossbreed,Crossbreed,1,24/01/2017 0:00,7/03/2017 0:00,,12,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Yes,Yes,,,,1.003,No,No,No,No,No
311,16/07/2008 0:00,TRUE,Male - Neutered,14366,Crossbreed,1,3/03/2017 0:00,8/03/2017 0:00,,31.8,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Yes,Yes,,,,1.004,No,No,No,No,No
312,5/07/2005 0:00,TRUE,Female    ,14962,Border Terrier,1,30/12/2016 0:00,8/03/2017 0:00,,12.4,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Yes,Yes,,,,1.018,Yes,No,No,No,No
313,28/05/2008 0:00,TRUE,Female - Neutered,14631,Labrador Retriever,1,9/03/2017 0:00,10/03/2017 0:00,,32.5,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Yes,Yes,88,39,,1.015,No,No,No,No,No
314,1/09/2006 0:00,TRUE,Male      ,Crossbreed,Crossbreed,1,9/03/2017 0:00,11/03/2017 0:00,,17.4,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Unknown,Unknown,,,,,No,No,No,No,No
315,7/10/2007 0:00,TRUE,Female - Neutered,13883,Collie,1,23/02/2017 0:00,13/03/2017 0:00,,30.2,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,Yes,No,No,No,No
316,4/11/2009 0:00,TRUE,Male - Neutered,14993,Cairn Terrier,1,11/03/2017 0:00,14/03/2017 0:00,,15.75,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Unknown,Unknown,,,,,No,No,No,No,No
317,23/10/2007 0:00,TRUE,Female - Neutered,14833,Shih Tzu,1,11/03/2017 0:00,16/03/2017 0:00,,9.5,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,Yes,Yes,,,728,1.005,No,No,No,No,No
318,19/04/2005 0:00,FALSE,Male      ,Crossbreed,Crossbreed,1,8/02/2017 0:00,17/03/2017 0:00,,30,Yes,Yes,No,No,No,No,Weight gain,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Unknown,,,446,1.015,No,No,No,No,No
319,5/08/2008 0:00,TRUE,Female - Neutered,15086,West Highland White Terrier,1,8/03/2017 0:00,24/03/2017 0:00,,9.5,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Unknown,Yes,Yes,,,1569,1.019,No,No,No,No,No
320,7/12/2010 0:00,FALSE,Male      ,13768,French Bulldog,1,26/03/2017 23:00,26/03/2017 23:00,,16.4,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
321,21/01/2007 0:00,TRUE,Male      ,Crossbreed,Crossbreed,1,26/03/2017 23:00,26/03/2017 23:00,,19.7,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
322,20/02/2012 0:00,TRUE,Female    ,14962,Border Terrier,1,27/02/2017 0:00,27/03/2017 23:00,,13.8,Yes,Yes,Yes,No,No,Yes,Weight gain,No,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,Yes,No
323,1/11/2002 0:00,TRUE,Female - Neutered,Crossbreed,Crossbreed,1,23/01/2017 0:00,29/03/2017 23:00,,14.45,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,,,477,1.005,No,No,No,No,No
324,8/01/2008 0:00,FALSE,Female    ,19067,Plummer Terrier,1,24/03/2017 0:00,29/03/2017 23:00,,8,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
325,1/06/2006 0:00,TRUE,Male      ,13714,Bichon Frise,1,2/04/2017 23:00,3/04/2017 23:00,,,No,No,No,No,No,Yes,Weight loss,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
326,17/04/2003 0:00,TRUE,Male - Neutered,14833,Shih Tzu,1,28/03/2017 23:00,5/04/2017 23:00,,10.25,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Unknown,Unknown,120,,1535,,No,No,No,No,No
327,30/06/2005 0:00,TRUE,Female - Neutered,14962,Border Terrier,1,7/10/2016 23:00,5/04/2017 23:00,,8.1,No,No,No,No,No,Yes,No change,No,No,No,No,No,Yes,No,Yes,Unknown,Unknown,Unknown,116,39.6,438,,No,No,No,No,No
328,24/01/2004 0:00,TRUE,Female - Neutered,15009,Jack Russell Terrier,1,14/01/2017 0:00,6/04/2017 23:00,,8.5,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,120,38.8,361,1.022,No,No,No,No,No
329,29/12/2004 0:00,TRUE,Female - Neutered,Crossbreed,Crossbreed,1,21/03/2017 0:00,10/04/2017 23:00,,32.35,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
330,28/05/2007 0:00,TRUE,Male - Neutered,-1001,Maltese Terrier,1,6/04/2017 23:00,12/04/2017 23:00,,11.1,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,120,,,,No,No,No,No,No
331,5/04/2005 0:00,TRUE,Male - Neutered,14884,Springer Spaniel,1,4/04/2017 23:00,17/04/2017 23:00,,17,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,Yes,No,No,No,No
332,3/11/2003 0:00,TRUE,Male - Neutered,15083,Tibetan Terrier,1,24/03/2017 0:00,21/04/2017 23:00,,15.4,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Unknown,Unknown,Unknown,100,,1352,,No,No,No,No,No
333,24/06/2006 0:00,TRUE,Male      ,14363,Lhasa Apso,1,19/04/2017 23:00,24/04/2017 23:00,,11.7,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Unknown,Unknown,Unknown,,,1183,,No,No,No,No,No
334,16/05/2003 0:00,TRUE,Female    ,14962,Border Terrier,1,2/04/2017 23:00,24/04/2017 23:00,,9.5,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,160,,748,1.022,No,No,No,No,No
335,19/08/2006 0:00,TRUE,Male      ,Crossbreed,Crossbreed,1,4/03/2017 0:00,25/04/2017 23:00,,22.4,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Unknown,Unknown,72,,,,Yes,Yes,No,No,No
336,16/11/2005 0:00,TRUE,Male - Neutered,14962,Border Terrier,1,25/04/2017 23:00,26/04/2017 23:00,,9.1,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Unknown,Unknown,142,38.6,1713,,No,No,No,No,No
337,10/11/2006 0:00,FALSE,Female    ,15086,West Highland White Terrier,1,24/04/2017 23:00,9/05/2017 23:00,,8.4,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Unknown,Unknown,Unknown,Unknown,188,,,,No,No,No,No,No
338,6/04/2003 0:00,TRUE,Male - Neutered,15009,Jack Russell Terrier,1,4/05/2017 23:00,10/05/2017 23:00,,10,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Unknown,Unknown,Unknown,Unknown,,38.3,,,No,No,No,No,No
339,1/02/2002 0:00,TRUE,Female - Neutered,Crossbreed,Crossbreed,1,27/04/2017 23:00,10/05/2017 23:00,,11.7,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Unknown,Unknown,Unknown,Unknown,,38.1,,,No,No,No,No,No
340,1/01/2008 0:00,FALSE,Female    ,15009,Jack Russell Terrier,1,17/01/2017 0:00,15/05/2017 23:00,,10,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,170,,550,1.009,No,No,No,No,No
341,1/12/2007 0:00,TRUE,Female - Neutered,15009,Jack Russell Terrier,1,20/04/2017 23:00,22/05/2017 23:00,,19,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Unknown,Unknown,,38.7,1074,,No,No,No,No,No
342,1/05/2006 0:00,TRUE,Female    ,15076,Staffordshire Bull Terrier,1,22/05/2017 23:00,25/05/2017 23:00,,,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Unknown,Unknown,,,1914,,No,No,No,No,No
343,15/11/2005 0:00,TRUE,Female - Neutered,Crossbreed,Crossbreed,1,18/03/2017 0:00,1/06/2017 23:00,,10.7,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,140,,,,Yes,No,No,No,No
344,25/12/2002 0:00,FALSE,Male      ,15087,Yorkshire Terrier,1,31/05/2017 23:00,1/06/2017 23:00,,7.3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
345,6/03/2007 0:00,TRUE,Female - Neutered,14672,Schnauzer,1,21/04/2017 23:00,1/06/2017 23:00,,10.8,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,,,,1.034,Yes,No,No,No,Yes
346,1/03/2009 0:00,TRUE,Male - Neutered,14844,Cavalier King Charles Spaniel,1,19/05/2017 23:00,2/06/2017 23:00,,20.45,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
347,9/01/2005 0:00,TRUE,Female - Neutered,14631,Labrador Retriever,1,21/05/2017 23:00,7/06/2017 23:00,,29.8,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,124,38.5,787,1.045,No,No,No,No,No
348,18/12/2009 0:00,FALSE,Male      ,15045,Patterdale Terrier,1,30/05/2017 23:00,12/06/2017 23:00,,9.45,Yes,No,No,No,No,No,Weight gain,No,Yes,No,No,No,No,No,Yes,Yes,No,Unknown,,,333,2.021,No,No,No,No,No
349,1/11/2006 0:00,TRUE,Male      ,7347,Chihuahua,1,8/02/2017 0:00,16/06/2017 23:00,,,Yes,Yes,Yes,No,No,Yes,Weight gain,No,No,No,No,No,Yes,No,Unknown,Unknown,Unknown,Unknown,110,,,,No,No,No,No,No
350,17/09/2008 0:00,TRUE,Female - Neutered,15033,Lakeland Terrier,1,31/05/2017 23:00,19/06/2017 23:00,,12.65,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Unknown,Unknown,No,No,140,37.9,,1.04,No,No,No,No,No
351,27/12/2006 0:00,TRUE,Male      ,14962,Border Terrier,1,18/04/2017 23:00,20/06/2017 23:00,,7.6,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Unknown,Unknown,80,37.6,343,,Yes,No,Yes,No,No
352,15/03/2008 0:00,TRUE,Male - Neutered,14363,Lhasa Apso,1,22/06/2017 23:00,27/06/2017 23:00,,10.25,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,Unknown,Unknown,No,Yes,,37.2,,1.035,No,No,No,No,No
353,17/07/2007 0:00,TRUE,Male - Neutered,Crossbreed,Crossbreed,1,25/06/2017 23:00,28/06/2017 23:00,,9.1,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,37.5,,,No,No,No,No,No
354,26/10/2008 0:00,TRUE,Male - Neutered,14884,Springer Spaniel,1,29/06/2017 23:00,6/07/2017 23:00,,20.5,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,60,,,1.017,No,No,No,No,No
355,1/05/2007 0:00,FALSE,Male      ,15086,West Highland White Terrier,1,3/07/2017 23:00,9/07/2017 23:00,,12.3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Unknown,Unknown,,,1546,,No,No,No,No,No
356,1/05/2004 0:00,TRUE,Female    ,15009,Jack Russell Terrier,1,5/05/2017 23:00,10/07/2017 23:00,,,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,Unknown,Unknown,Unknown,Unknown,,,,,Yes,No,No,No,No
357,20/08/2013 0:00,TRUE,Male      ,14833,Shih Tzu,1,10/07/2017 23:00,10/07/2017 23:00,,11.8,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
358,1/06/2006 0:00,TRUE,Male      ,13714,Bichon Frise,1,6/06/2017 23:00,11/07/2017 23:00,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,120,38.7,,,No,No,No,No,No
359,15/04/2007 0:00,FALSE,Female    ,15009,Jack Russell Terrier,1,9/01/2017 0:00,11/07/2017 23:00,,10.1,Yes,Yes,No,No,No,Yes,Weight gain,No,No,No,No,No,No,No,No,Yes,Yes,No,,,,1.015,No,No,No,No,No
360,16/04/2006 0:00,TRUE,Female    ,Crossbreed,Crossbreed,1,3/02/2016 0:00,12/07/2017 23:00,,6.69,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Unknown,Unknown,No,Yes,,,,1.031,Yes,No,No,No,No
361,2/06/2008 0:00,TRUE,Female - Neutered,14844,Cavalier King Charles Spaniel,1,11/07/2017 23:00,12/07/2017 23:00,,13.4,Yes,Yes,Yes,No,No,No,Weight loss,Yes,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
362,27/08/2007 0:00,FALSE,Male      ,14672,Schnauzer,1,7/07/2017 23:00,12/07/2017 23:00,,14.6,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Unknown,Unknown,,,,,No,No,No,No,No
363,22/05/2006 0:00,TRUE,Male - Neutered,15009,Jack Russell Terrier,1,6/07/2017 23:00,13/07/2017 23:00,,15.2,Yes,Yes,No,Yes,No,Yes,Weight loss,Yes,Yes,No,Yes,No,No,No,Yes,No,Unknown,Unknown,100,38.5,2400,,No,No,No,No,Yes
364,2/05/2011 0:00,TRUE,Male - Neutered,-280,Cyprus Terrier,1,16/05/2017 23:00,19/07/2017 23:00,,11.2,No,Yes,No,No,No,No,Weight loss,No,Yes,No,No,No,No,No,Yes,Unknown,Unknown,Unknown,,,448,,No,No,No,No,No
365,1/03/2002 0:00,TRUE,Female    ,15076,Staffordshire Bull Terrier,1,29/06/2017 23:00,20/07/2017 23:00,,,Yes,Yes,No,No,No,No,Weight loss,No,No,No,Yes,No,Yes,No,Unknown,Unknown,Yes,Yes,132,38.8,,1.009,Yes,No,No,No,Yes
366,23/01/2006 0:00,TRUE,Male      ,13878,Crossbreed,1,9/07/2017 23:00,24/07/2017 23:00,,20.6,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Unknown,Unknown,,39.6,7210,,Yes,No,No,No,No
367,3/10/2008 0:00,TRUE,Male      ,14672,Schnauzer,1,20/07/2017 23:00,28/07/2017 23:00,,9.9,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Unknown,Unknown,,,,,No,No,No,No,No
368,27/05/2005 0:00,TRUE,Male - Neutered,13714,Bichon Frise,1,11/07/2017 23:00,30/07/2017 23:00,,6.26,Yes,Yes,Yes,No,No,No,Weight loss,Yes,Yes,No,No,Yes,Yes,No,Yes,Unknown,No,No,108,38,255,1.045,No,No,No,No,No
369,20/10/2004 0:00,TRUE,Male      ,Crossbreed,Crossbreed,1,29/07/2017 23:00,31/07/2017 23:00,,18.5,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Unknown,Unknown,,,5590,,No,No,No,No,No
370,18/08/2002 0:00,TRUE,Male      ,15087,Yorkshire Terrier,1,28/07/2017 23:00,1/08/2017 23:00,,,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,Unknown,Unknown,Yes,No,120,38,,1.018,No,No,No,No,No
371,18/06/2006 0:00,TRUE,Male - Neutered,13846,Chihuahua,1,25/07/2017 23:00,1/08/2017 23:00,,4.13,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Unknown,No,Yes,,,,1.03,No,No,No,No,No
372,4/07/2003 0:00,TRUE,Female - Neutered,14833,Shih Tzu,1,31/07/2017 23:00,1/08/2017 23:00,,7.65,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Unknown,No,Yes,,,986,1.021,Yes,No,No,No,No
373,28/11/2007 0:00,TRUE,Male - Neutered,14672,Schnauzer,1,13/06/2017 23:00,1/08/2017 23:00,,12.3,No,No,No,No,No,No,Weight gain,No,No,No,No,No,No,No,Yes,Yes,No,Yes,,,551,1.031,No,No,No,No,No
374,17/09/2009 0:00,FALSE,Male      ,15087,Yorkshire Terrier,1,2/08/2017 23:00,2/08/2017 23:00,,3.6,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
375,6/08/2006 0:00,FALSE,Male      ,15076,Staffordshire Bull Terrier,1,1/08/2017 23:00,4/08/2017 23:00,,23.75,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Unknown,Unknown,120,38.5,,,No,No,No,No,No
376,1/07/2005 0:00,TRUE,Female - Neutered,14631,Labrador Retriever,1,30/07/2017 23:00,6/08/2017 23:00,,34.4,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Unknown,Unknown,80,38.5,2400,,Yes,No,No,No,No
377,25/03/2005 0:00,FALSE,Female    ,Crossbreed,Crossbreed,1,9/07/2017 23:00,6/08/2017 23:00,,27.4,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,,,4561,1.017,No,No,No,No,No
378,9/03/2012 0:00,FALSE,Female    ,15086,West Highland White Terrier,1,3/08/2017 23:00,6/08/2017 23:00,,8.85,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Yes,Yes,Unknown,,,,1.004,No,No,No,No,No
379,29/06/2007 0:00,TRUE,Female    ,15009,Jack Russell Terrier,1,5/07/2017 23:00,7/08/2017 23:00,,7.06,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Unknown,Unknown,,,,,No,No,No,No,No
380,1/06/2002 0:00,TRUE,Female    ,14327,Crossbreed,1,6/08/2017 23:00,7/08/2017 23:00,,8.4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,Unknown,Unknown,,,,,No,Yes,No,No,No
381,26/06/2007 0:00,TRUE,Male      ,14833,Shih Tzu,1,25/01/2017 0:00,8/08/2017 23:00,,12,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Unknown,Unknown,160,37.8,,,No,No,No,No,No
382,27/12/2004 0:00,FALSE,Female    ,13714,Bichon Frise,1,26/07/2017 23:00,8/08/2017 23:00,,8.4,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Unknown,Unknown,Yes,Yes,168,39.1,,1.011,No,No,No,No,No
383,1/02/2008 0:00,FALSE,Male      ,14844,Cavalier King Charles Spaniel,1,4/01/2017 0:00,8/08/2017 23:00,,11.7,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,100,37.7,,,No,No,No,No,No
384,20/12/2006 0:00,TRUE,Male - Neutered,15009,Jack Russell Terrier,1,28/06/2017 23:00,10/08/2017 23:00,,7.25,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Unknown,Unknown,Yes,No,,,,1.015,No,No,No,No,No
385,19/01/2009 0:00,TRUE,Female    ,14833,Shih Tzu,1,9/08/2017 23:00,12/08/2017 23:00,,4,Yes,Yes,No,No,No,Yes,Weight loss,No,No,No,No,No,No,No,Yes,Yes,Unknown,Unknown,,,240,,No,No,No,No,No
386,2/10/2009 0:00,TRUE,Female - Neutered,13878,Crossbreed,1,7/08/2017 23:00,13/08/2017 23:00,,8.3,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Unknown,Unknown,Unknown,Unknown,,,,,No,No,No,No,No
387,30/06/2003 0:00,TRUE,Female - Neutered,Crossbreed,Crossbreed,1,14/08/2017 23:00,15/08/2017 23:00,,12.4,Yes,No,No,No,No,Yes,Weight gain,No,No,No,No,No,No,No,Yes,Yes,No,No,,,3866,1.021,No,No,No,No,Yes
388,22/02/2005 0:00,TRUE,Female - Neutered,14962,Border Terrier,1,3/08/2017 23:00,16/08/2017 23:00,,9.5,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Unknown,Yes,Yes,,,,1.01,No,No,No,No,No
